Category,Linnean Name,English Name,Most Recent Date,Notes
"Hymenoptera (Ants, Wasps & Bees):",Ophion minutus,an Ichneumon Fly,2021-05-08,"very common ichneumonid, an endoparasitoid of the larvae of Erannis spp. (Geometridae); prefers Oak-dominated habitat."
"Hymenoptera (Ants, Wasps & Bees):",Zele albiditarsus,Braconid ,2021-05-08,M.V. light.
Coleoptera (beetles):,Cantharis decipiens,Soldier Beetle,2021-05-08,"Carniverous, on bushes, flowers & grasses"
Coleoptera (beetles):,Liophloeus tessulatus,,2021-05-08,"Feeds on Ivy roots, also Cow Parsley, Hogweed"
Collembola (Springtails),Orchesella villosa,Springtail,2021-04-29,Common
Trichoptera (Caddis Flies):,Limnephilus auricula,,2021-04-27,". Common in temporary pools, ponds and ditches"
Coleoptera (beetles):,Aphodius sticticus,Dung beetle,2021-04-25,U.V. Common in horse & cattle fields.
Diptera (Flies):,Tipula rufina,Cranefly,2021-04-07,UV.  Breeds in Moss.  Rare in Essex
Diptera (Flies):,Scathophaga stercoraria,Yellow Dung Fly,2021-04-04,On fermenting grass under hot tub next door
Diptera (Flies):,Dicranomyia chorea,Cranefly,2021-04-03,UV.
Collembola (Springtails),Orchesella cincta,Black-belted Springtail,2021-03-29,Common
Coleoptera (beetles):,Aphodius prodromus,Dung beetle,2021-03-22,UV. Widespread & abundant in Britain
Coleoptera (beetles):,Phaedon tumidulus,Celery Leaf Beetle,2021-03-15,Associated with Cow Parsley and umbillifers
Coleoptera (beetles):,Parathelcus pollinarius,Large Nettle Weevil,2021-02-16,"UV.  Common, feeds on nettles"
Coleoptera (beetles):,Psylliodes chrysocephala,Cabbage-stem Flea-beetle,2021-02-16,UV.
Collembola (Springtails),Entomobrya albocinta?,Springtail,2021-02-09,
Collembola (Springtails),Entomobrya intermedia,Springtail,2021-02-05,Common
Coleoptera (beetles):,Phyllotreta nigripes,Turnip Flea beetle,2021-01-28,
Coleoptera (beetles):,Otiorhynchus singularis,,2020-12-20,UV
Diptera (Flies):,Melanostoma scalare,a Hover-fly,2020-11-14,"UV  Widespread, often common. Seen 1979"
Diptera (Flies):,Sylvicola punctatus,Window Midge,2020-10-31,UV
Coleoptera (beetles):,Aphodius rufipes,Dung beetle,2020-10-30,Common in gardens; feeds on Cow & horse dung
Diptera (Flies):,Tipula confusa (was marmorata),,2020-10-22,Larvae breed in moss.  Adult in woods & gardens
Diptera (Flies):,Tipula pagana,Cranefly,2020-10-22,UV   Frequent
Diptera (Flies):,Tipula paludosa,Cranefly,2020-10-22,UV  Very  common
Diptera (Flies):,Phaonia pallida,,2020-10-16,UV
Hemiptera (Bugs):,Pinalitus cervinus,,2020-10-13,"On lime, ash, hazel or ivy"
Coleoptera (beetles):,Astrapaeus ulmi,,2020-10-06,recent arrival to Britain
Diptera (Flies):,Sargus bipunctatus,Twin-spot Centurion,2020-10-05,"UV  Breeds in compost heaps, dung etc."
"Hymenoptera (Ants, Wasps & Bees):",Stenichneumon culpator,an Ichneumon Fly,2020-09-28,Widepread.
"Hymenoptera (Ants, Wasps & Bees):",Vespula vulgaris,Common Wasp,2020-09-19,"Very common, declining, feeds on insects & spiders"
Diptera (Flies):,Macrocera phalerata,Fungus gnat,2020-09-14,♂ in MV trap
Coleoptera (beetles):,Gyrinus substriatus,Whirligig Beetle,2020-09-14,UV
"Hymenoptera (Ants, Wasps & Bees):",Athalia cordata,Bugle Sawfly,2020-08-31,"Common; larva feeds on Bugle, plantains, snapdragon"
"Hymenoptera (Ants, Wasps & Bees):",Ophion slaviceki,an Ichneumon Fly,2020-08-30,
Diptera (Flies):,Eristalis arbustorum,a Hoverfly,2020-08-19,MV. Recorded 1979 at Leasey Bridge
Hemiptera (Bugs):,Elasmostethus interstinctus,Birch Shieldbug,2020-08-18,"Common, eats silver birch and hazel"
Diptera (Flies):,Chorisops nagatomii,Bright 4-spotted Legionnaire,2020-08-18,UV.   Nationally notable
Diptera (Flies):,Euphylidorea lineola,Cranefly,2020-08-18,UV.  Larvae feed in marshy ground. Widespread
Neuroptera (Lacewings & Snake flies):,Micromus variegatus,,2020-08-17,Frequents long grass & rank herbage
Diptera (Flies):,Microchrysa flavicornis,Green Gem,2020-08-15,"Widespread & Common, breeds in Cow dung"
Diptera (Flies):,Peplomyza litura,,2020-08-13,UV
Coleoptera (beetles):,Heterocerus fenestratus,(Water beetle),2020-08-06,UV.  Lives in edge of water.
Hemiptera (Bugs):,Empicoris vagabundus,Thread-legged bug,2020-08-05,"Fairly common, hunts on trees.  Overwinters in evergreens &c."
Hemiptera (Bugs):,Thyreocoris scarabaeoides,Scarab Bug,2020-08-05,UV. Associated with violets. Widespread but local
Coleoptera (beetles):,Aspidapion radiolus,,2020-08-03,"U.V. Feeds on Mallow, also Hollyhocks"
Orthoptera (Grasshoppers & Crickets):,Pholidoptera griseaptera,Dark Bush-cricket,2020-08-02,UV
Hemiptera (Bugs):,Callicorixa prauesta,,2020-07-30,"Fairly local in ditches, occasionally rivers."
Hemiptera (Bugs):,Sigara lateralis,,2020-07-30,Common in ponds with moderate vegetation cover
Hemiptera (Bugs):,Tingis cardui,Spear Thistle Lacebug,2020-07-30,U.V.  Common
Coleoptera (beetles):,Geotrupes stercorarius,Dor Beetle,2020-07-30,Larvae feed on dung as above species
Coleoptera (beetles):,Prionychus ater,,2020-07-28,NATIONALLY NOTABLE  Nb.  Oak tree specialist; usually in old woodland. Develops in wood mould
Coleoptera (beetles):,Amara aulica,,2020-07-18,UV
Orthoptera (Grasshoppers & Crickets):,Conocephalus discolor,Long-winged Conehead,2020-07-17,Recently spread from south coast
Hemiptera (Bugs):,Iassus lanio,(Froghopper),2020-07-08,UV.  Common on Oak
Orthoptera (Grasshoppers & Crickets):,Leptophyes punctatissima,Speckled Bush-cricket,2020-07-04,UV
Hemiptera (Bugs):,Oncotylus viridiflavus,,2020-07-01,UV
Trichoptera (Caddis Flies):,Micropterna sequax,,2020-07-01,UV
Diptera (Flies):,Nephrotoma quadrifarea,Cranefly,2020-06-29,Common
Trichoptera (Caddis Flies):,Glyphotaelius pellucidus,,2020-06-28,UV. Widely distributed near ponds and lakes
Hemiptera (Bugs):,Palomena prasina,Green Shieldbug,2020-06-27,"Larvae feed on trees & shrubs, often hazel"
Coleoptera (beetles):,Carabus violaceus,Violet Ground Beetle,2020-06-27,"Nocturnal predator, hunts slugs etc."
